payment_id,policy_id,payment_date,payment_amount,payment_type
1,951,2020-09-09,1406.9,Premium
2,926,2022-06-29,608.94,Refund
3,847,2021-06-19,985.48,Premium
4,1060,2022-03-22,1339.67,Premium
5,1068,2024-06-28,559.61,Claim Payout
6,1179,2024-03-04,1222.79,Premium
7,1101,2020-12-10,1812.91,Premium
8,39,2022-11-26,1371.64,Premium
9,239,2020-11-03,1494.91,Premium
10,1037,2020-03-30,1076.42,Premium
11,122,2020-09-21,1338.78,Refund
12,144,2022-03-20,748.75,Premium
13,684,2024-12-21,1278.55,Premium
14,455,2021-06-11,1229.04,Premium
15,368,2021-01-11,1101.47,Premium
16,759,2023-09-20,1460.6,Claim Payout
17,247,2021-05-16,811.43,Premium
18,923,2020-06-23,934.53,Premium
19,1069,2025-03-03,1033.41,Premium
20,765,2020-07-26,639.64,Premium
21,375,2021-11-19,1079.43,Claim Payout
22,207,2024-11-09,398.37,Premium
23,519,2024-06-05,1366.43,Claim Payout
24,242,2025-07-25,1016.32,Premium
25,1138,2020-04-30,817.69,Claim Payout
26,819,2024-04-16,707.97,Refund
27,302,2024-10-13,917.9,Premium
28,1120,2021-12-08,1240.89,Premium
29,701,2023-12-20,1191.71,Premium
30,288,2022-05-29,753.06,Premium
31,154,2022-02-05,703.89,Premium
32,423,2023-01-31,1229.91,Premium
33,850,2023-02-20,747.18,Claim Payout
34,50,2024-12-31,1020.97,Premium
35,564,2021-08-31,1043.31,Refund
36,854,2020-05-21,1109.22,Claim Payout
37,883,2022-10-03,1300.39,Claim Payout
38,662,2023-04-23,557.96,Premium
39,565,2025-08-05,331.09,Premium
40,213,2024-08-14,801.39,Premium
41,1090,2025-05-16,1630.53,Premium
42,811,2020-09-06,1707.76,Premium
43,850,2020-12-25,1640.91,Refund
44,1161,2023-02-19,932.46,Premium
45,881,2024-04-17,376.26,Premium
46,1089,2021-07-16,179.94,Claim Payout
47,1156,2024-09-13,785.09,Premium
48,334,2022-03-27,930.67,Premium
49,32,2025-11-23,1455.22,Refund
50,868,2022-10-17,1303.73,Premium
51,898,2020-03-20,1079.59,Premium
52,1166,2024-04-15,688.55,Premium
53,601,2024-01-10,663.73,Claim Payout
54,988,2025-05-18,1088.94,Premium
55,1173,2025-06-08,1243.97,Premium
56,599,2023-11-10,1137.16,Premium
57,520,2025-08-19,637.89,Premium
58,869,2023-08-10,1227.73,Premium
59,16,2024-05-09,1149.07,Premium
60,1130,2023-01-12,625.27,Premium
61,283,2022-01-06,725.49,Premium
62,1128,2020-04-16,1240.97,Premium
63,361,2023-07-30,917.92,Premium
64,1059,2022-06-16,1556.2,Premium
65,113,2020-04-30,1175.4,Premium
66,308,2023-02-24,829.68,Premium
67,959,2020-08-27,996.43,Refund
68,1077,2025-04-16,1022.18,Claim Payout
69,1105,2025-12-08,745.06,Premium
70,834,2024-01-04,680.59,Premium
71,242,2022-08-11,1245.49,Premium
72,31,2021-10-15,1295.85,Premium
73,704,2021-02-14,1211.32,Premium
74,869,2022-10-12,1530.36,Premium
75,233,2022-09-14,810.38,Premium
76,1058,2022-12-27,1585.99,Premium
77,951,2025-12-25,684.68,Premium
78,59,2020-08-17,645.56,Refund
79,771,2022-06-17,384.01,Premium
80,1102,2024-05-09,843.97,Premium
81,718,2023-12-24,823.7,Claim Payout
82,302,2021-12-12,1184.08,Claim Payout
83,803,2021-12-22,1085.36,Refund
84,897,2022-08-26,582.46,Premium
85,112,2023-07-26,862.55,Premium
86,317,2024-01-09,869.99,Claim Payout
87,1169,2020-04-25,378.41,Premium
88,668,2023-12-11,656.67,Claim Payout
89,690,2021-08-05,730.22,Premium
90,18,2022-02-10,1501.77,Premium
91,1179,2025-07-09,1067.01,Claim Payout
92,778,2023-06-19,1231.76,Premium
93,360,2021-12-20,475.48,Premium
94,332,2025-07-01,1417.98,Premium
95,528,2020-06-04,1455.39,Premium
96,12,2021-01-04,300.58,Premium
97,1099,2020-08-18,753.14,Premium
98,212,2022-08-10,1173.52,Premium
99,641,2022-06-15,1225.54,Refund
100,283,2020-03-22,762.53,Premium
101,780,2025-11-26,893.08,Claim Payout
102,1054,2025-05-11,790.92,Premium
103,1033,2020-01-03,1038.65,Premium
104,677,2023-09-20,1419.01,Premium
105,705,2022-04-05,730.14,Premium
106,426,2021-06-18,1350.29,Claim Payout
107,591,2023-10-27,726.41,Refund
108,91,2021-12-27,703.33,Premium
109,456,2023-08-18,1286.51,Premium
110,444,2020-08-31,1322.68,Refund
111,79,2020-03-30,1297.99,Claim Payout
112,927,2021-08-28,539.47,Claim Payout
113,103,2021-08-03,836.92,Premium
114,623,2021-03-30,1288.05,Claim Payout
115,990,2025-11-25,1014.54,Premium
116,234,2024-02-03,624.21,Premium
117,644,2020-10-24,1160.41,Premium
118,790,2024-03-10,749.82,Premium
119,387,2024-06-08,1628.08,Refund
120,847,2021-02-17,1540.69,Claim Payout
121,38,2023-10-10,1211.43,Refund
122,1185,2023-05-21,1476.35,Premium
123,1141,2023-08-14,1022.68,Premium
124,241,2021-07-12,1267.9,Premium
125,1050,2021-10-07,1517.2,Premium
126,562,2024-11-24,1085.92,Refund
127,806,2025-06-18,910.68,Premium
128,298,2023-07-23,403.38,Premium
129,805,2021-12-14,970.9,Premium
130,154,2024-01-01,1288.2,Claim Payout
131,732,2022-07-03,1330.97,Premium
132,468,2021-12-19,1176.53,Premium
133,49,2024-03-29,810.55,Refund
134,46,2023-06-10,308.11,Premium
135,780,2023-04-21,826.67,Claim Payout
136,82,2021-06-05,893.48,Premium
137,1068,2021-12-28,890.47,Premium
138,955,2020-01-08,1216.49,Claim Payout
139,273,2024-05-22,1694.99,Premium
140,394,2020-05-12,1043.24,Premium
141,790,2022-01-15,924.14,Premium
142,595,2023-07-27,909.27,Premium
143,58,2022-06-23,1043.53,Premium
144,565,2021-03-02,710.1,Premium
145,1,2025-07-25,1042.07,Claim Payout
146,216,2021-07-30,1157.78,Refund
147,766,2023-09-18,1073.39,Premium
148,671,2020-11-14,1160.14,Premium
149,511,2022-09-01,1151.81,Premium
150,915,2023-11-21,379.84,Premium
151,95,2023-08-01,1222.9,Premium
152,493,2021-11-18,765.14,Premium
153,765,2020-12-29,616.46,Premium
154,1022,2023-10-07,613.44,Premium
155,150,2025-01-03,1151.74,Premium
156,1047,2020-02-16,922.1,Refund
157,756,2022-12-22,411.31,Refund
158,399,2022-05-08,1167.31,Premium
